iso_country,sum_di,domestic,international,domestic_ratio,sum_dn,day,night,day_ratio,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,min_month_flights_origin,max_month_flights_origin,min_month_flights_destination,max_month_flights_destination,long,medium,short,long_ratio,short_ratio,latitude_deg,longitude_deg,elevation_m,STATION,LATITUDE,LONGITUDE,ELEVATION,airport_station_distance,AVG_TEMP,AVG_VISIB,AVG_WDSP,AVG_MAX,AVG_MIN,AVG_PRCP
AE,156031,27602,128429,14.689121003701278,262567,139797,122770,17.655885976057437,45401,36741,26785,6373,8960,12177,15765,17780,18958,22998,23504,27125,2740,21992,3233,25314,66631,46366,43034,3.197575016981845,16.138354455348438,568.9777498979261,1248.8283674394368,610.5144000000001,947776199977,565.3869050000001,1245.8247740000002,691.8300000000003,738.8160648385497,711.0692950264958,198.34067976391324,187.15889916043847,839.5956856329801,602.0993558302471,3.590019795163312
AL,36,0,36,0.0,41,32,9,1.554761904761905,0,0,0,0,0,0,41,0,0,0,0,0,0,9,0,32,0,2,34,0.0,1.888888888888888,83.30989855440001,39.3193001282,45.4152,27215199998,83.514742,39.2538943,81.4,23.41047612890137,32.6786581663631,24.049704918032802,9.534153005464471,46.2317850637523,20.435033394049732,2.69198360655738
AM,3558,82,3476,1.104802259887005,4379,2270,2109,1.652370030581039,1586,1391,962,164,157,119,0,0,0,0,0,0,0,772,0,818,13,3427,118,0.0036723163841809996,1.114971751412429,161.31390380858792,177.2848014831934,4633.5696,143969399996,161.3278833,176.99203980000001,4344.04,25.514714385489146,48.36776951217648,67.5818160035613,15.051657712265218,74.47964723229921,22.90188680207966,1.19173669467787
AR,12641,3308,9333,17.81803159502923,29178,18882,10296,23.74604458626831,7938,10768,4649,610,909,1102,943,1162,1093,0,2,2,0,5192,0,5649,4727,4466,3448,0.912257324088983,17.944580797983384,-1597.5611967731,-2878.7389507257,9555.784800000003,4112710699953,-1596.9157235999999,-2876.205102799999,8700.109999999999,1200.6383140304392,816.9488087870941,559.2806328148589,350.73435656912477,1129.0984955407023,519.5178438585654,86.31172871450136
AT,124898,29680,95218,36.87322349582433,147062,114501,32561,50.51396320570437,22405,23572,13584,2174,5438,8431,14084,16242,15503,11932,7010,6687,928,12764,1067,14146,3090,16064,105744,0.056685256926975,54.01338365997743,2621.2020932540413,797.7730764169874,26070.7632,614471799945,2620.845301699999,797.1000114999999,32619.389999999996,491.37656225111044,515.1238240346513,503.5279160301812,263.08089527114083,793.5289902981283,264.48384697003564,145.0008766503638
AU,810452,755488,54964,437.75746481492405,1091195,876041,215154,394.96576477771237,145045,140651,132437,54102,62309,71267,78340,67859,71526,78013,88608,101038,19428,81182,21256,89718,66113,91175,653164,10.154542475207828,423.78841765928104,-16546.652246230948,73005.78726450777,55368.13919999994,47905418399495,-16569.64559240002,73006.14939970007,134527.26,15551.986754646812,8190.637099697484,1380.8724084792798,3918.6564974708904,11053.472327760719,5068.6608290501545,1006.8782850983591
AW,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,12.5014,-70.015198,18.288,78982000411,12.5,-70.017,18.3,0.250005227345132,28.4160595021251,17.6440163934426,14.7508196721312,31.829386763812998,26.0680024286582,2.304043715847
AZ,119,2,117,0.25900900900900903,162,44,118,0.701904761904762,0,0,33,1,18,3,17,14,25,49,2,0,0,21,0,33,22,95,2,0.68018018018018,0.25900900900900903,121.4656982421875,149.804298400879,11.2776,113592299997,121.4025,150.14000099999998,9.120000000000001,58.24782585892456,47.2299635701275,28.7780901639345,31.2442622950821,59.815573770492,33.695355191256596,21.92681095890411
BA,265,0,265,0.0,289,213,76,3.819694107062529,36,40,29,5,6,20,25,46,17,26,19,20,0,15,5,51,0,42,223,0.0,4.656284606866003,353.7772771454602,142.7471568260393,2538.0696000000003,112783799992,353.9655935,142.49151270000002,2538.05,85.52965444214264,102.29767928430951,93.31321328700864,28.531089178409648,151.345305806842,51.580198538317184,9.93616011964139
BB,4856,34,4822,0.007001647446458,9275,7472,1803,0.805606469002695,1466,2347,2082,68,88,118,84,123,453,688,702,1056,10,981,46,1366,910,2101,1845,0.18739703459637602,0.37994233937397,13.0746,-59.4925,51.5112,78954000408,13.067,-59.483000000000004,52.1,1.33153065027536,27.5643594414086,12.2338005464481,13.683333333333302,30.560261080752696,25.0203400121433,1.9223181818181798
BD,7767,1246,6521,1.2561350938247509,9741,5379,4362,2.103604712502198,1224,1388,957,154,290,484,583,650,868,1140,1271,732,80,1156,70,567,554,5095,2118,0.136187367409032,1.493697089547299,70.80594580065912,269.94127817822255,22.5552,125781299997,70.805916,269.941303,22.54,0.007247041978507,80.6607714368101,11.38581314034208,8.72423615572058,94.95132185870861,68.6715535531259,12.17151925940439
BE,131558,14736,116822,32.71906877545942,162918,101984,60934,45.59420661625093,22004,21995,15919,4825,6959,9121,15109,16173,14512,13343,10967,11991,2001,13467,2420,14437,14312,29313,87933,1.065993982042856,47.10752834917642,2536.128716294834,232.0537624062964,7294.7784,323282199950,2535.896812,231.96683509999997,7308.450000000002,518.9923468552774,576.0507710064633,378.4480600494881,368.88072226269634,783.6276504516752,351.3591124480688,83.07999237252996
BG,4345,488,3857,7.078214670750856,5454,3748,1706,21.914478312725155,323,230,203,66,108,510,1592,327,288,607,623,577,16,817,11,1098,111,2383,1851,0.8313431950922869,15.413943951562308,1590.5184201702336,945.2231254924595,7894.6248000000005,573393699963,1590.5379069999997,944.4528042999999,16338.279999999995,892.9099238868462,444.0020417180685,506.88791125749503,258.59385475399955,655.4109438007979,244.85550552497003,40.92798086285476
BH,20381,1368,19013,1.143050543180097,36447,19344,17103,2.208870685715238,7061,6786,3599,1600,1585,1947,2054,2048,2156,2220,2525,2866,755,3304,808,3801,3728,5393,11260,0.43624205468494,2.14579731770938,78.2237324476318,151.7487413876953,58.216800000000006,123450299997,78.81250200000001,151.90082999999998,5.46,67.86890595797014,84.4298724954462,28.93513114754097,24.95081967213114,95.87932604735911,74.99316939890699,0.41759322033898205
BM,4977,20,4957,0.004018485031142999,5327,4270,1057,0.8015768725361371,766,811,552,98,123,176,375,457,404,560,501,504,48,401,50,410,436,1815,2726,0.087602973678923,0.547719509744826,32.3639984130859,-64.6787033081055,3.6576,78016013601,32.36667,-64.68333,5.5,0.526381654877684,22.5206435944141,10.0185109289617,11.148907103825099,24.9823922282939,19.9171220400729,3.49749438202247
BN,3784,124,3660,0.033040234479083,5325,2965,2360,1.4900739729700092,1641,1489,925,110,104,122,161,129,152,148,158,186,49,803,52,838,697,1404,1683,0.185718092192912,1.440181188382627,9.581200122829909,229.310005187809,24.384,192764199998,9.266214000000002,228.91515900000002,40.230000000000004,56.128510179686856,55.5660291438979,22.94953825136609,8.82677595628416,63.5701275045537,48.272920461445096,18.95830968532128
BO,3479,1900,1579,21.328882176588042,8838,6082,2756,21.477472534441393,1648,2053,1963,89,212,263,368,912,771,389,163,7,0,1182,0,1273,609,970,1900,0.4895792558956479,21.328882176588042,-550.2953661254352,-1983.144574048882,32154.875999999997,2642537099969,-550.8995692,-1983.1869907000003,35291.93999999999,1678.2981144340647,707.737981774364,424.0042238231699,230.2970982331358,892.2134265009685,507.9155273562916,93.4178451064814
BQ,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,12.130999999999998,-68.268501,6.096,78990000413,12.15,-68.283,7.0,2.63586968195868,28.2756527018822,10.484355191256801,12.494262295081999,31.173649058894895,26.196417729204697,1.93645141065831
BR,196901,167156,29745,444.7535599659279,413306,269454,143852,433.1914671837549,59678,66263,51256,8923,10983,14453,18929,22586,30620,39978,40593,49044,3321,35469,2981,43504,22881,15739,158281,8.085576809489178,428.16870083773233,-15366.775325865156,-37938.01816126599,385924.04400000046,65442884499237,-15362.860935900015,-37919.583982900054,381548.5699999999,28207.619469748337,17922.420084167694,2027.5068032770628,3140.5495076188995,22415.810021365945,14042.854124630981,154.20241623104565
BS,124,0,124,0.0,166,156,10,3.664433811802232,0,0,0,0,1,31,46,18,18,7,21,24,0,8,0,48,0,0,124,0.0,4.0,335.4409292410328,-1013.90647577,35.66160000000001,1101079399987,333.15392899999995,-1017.4423440000002,31.33,841.4904633721188,340.0123299557687,103.26784618554811,128.34369671258912,375.48025562874966,297.0174221970488,33.7006264540759
BY,16751,446,16305,3.444568067433922,22969,16004,6965,10.918245670085104,2968,3689,2759,497,683,1047,1837,2036,2206,1969,1617,1661,253,1884,236,1939,71,5680,11000,0.579954366700195,7.019310860622396,642.2114573225092,329.2271982521975,1609.9535999999998,337950999988,642.4460750000001,329.07822300000004,2189.19,134.66785845175872,106.708979505858,117.55492622202266,86.4664661200266,151.4079120434115,57.82553339206674,12.918736636715836
CA,578297,416810,161487,464.53743863130165,755644,548679,206965,428.3365301614818,106408,108024,97490,28329,31022,44268,59345,63678,59399,55868,50537,51276,10702,64135,11074,71092,31132,123487,423678,2.039179181246483,463.08429054638793,27090.033081761187,-51278.07546512911,208009.84560000003,41145374060266,27081.81227859997,-51288.527497700125,200198.42999999976,11270.842138926317,3524.9494575616177,3663.306538931186,3717.191007453767,6940.453129206597,478.821624338821,867.3599775802202
CH,229284,80678,148606,47.73025982047736,259557,214368,45189,53.36731278421083,35860,36705,23894,5308,11116,16289,27212,27766,24529,21136,15150,14592,2078,22187,2206,23117,12175,25909,191200,0.21405747488482998,57.06815136173278,2722.6151469867077,460.22352039765116,32563.917600000008,386646799942,2723.1135390999993,459.7712492000001,37238.31999999999,337.1989231629477,580.2392351239613,220.17243454623102,250.12670112703648,868.0307084272735,300.92049362893727,134.76725057794383
CL,212,208,4,20.56727167963123,697,664,33,29.12545045045045,0,0,0,0,0,0,1,0,0,0,0,696,0,292,0,405,1,3,208,0.076923076923077,20.56727167963123,-4185.341085240202,-8069.540541460359,21992.234399999998,9596208399888,-4183.386169199998,-8074.971651199999,18057.540000000005,5543.3894167423205,1467.6702657284268,819.5279597341308,568.7124006308413,2288.2727846811827,830.9680064226152,168.9715179783415
CM,7,0,7,0.0,8,8,0,1.0,0,0,0,0,0,0,2,3,1,2,0,0,0,2,0,2,7,0,0,1.0,0.0,5.70417022705078,9.30638980865478,125.8824,65264099999,4.976019,8.347197,64.0,133.539375989554,29.1296296296296,3.75666666666667,6.5333333333333306,32.537037037037,26.5,0.0
CN,54250,34696,19554,9.3281056439933,399955,245202,154753,8.007052037445096,36455,12289,19319,21673,30175,35977,38933,33191,37742,44640,44648,44913,4264,22933,7079,32447,7287,9441,37522,0.8491127938775741,8.07371276957764,575.1371112023427,2182.6883744622496,5898.184799999999,1065212999981,575.4088078999999,2183.0655067999996,3756.25,465.4741635938124,346.7338119952427,222.66593099782935,111.55008234149265,450.6184715256466,260.1239484825048,45.920084142097075
CO,32195,7764,24431,3.1053246194215753,105930,70918,35012,5.169767465613662,21929,21598,15174,1728,2027,2089,2199,2387,4982,7900,10763,13154,864,10026,689,12502,4053,18626,9516,0.287748951324108,3.232060454992888,67.13274,-587.8968,7996.732799999999,640844799992,68.462352,-588.041275,8113.120000000001,417.84085577607095,197.46881321637682,86.50644568795971,67.25872445542336,236.78444316660116,153.02424866223424,13.622255308398092
CR,13202,810,12392,15.499607985730236,16773,12195,4578,15.72557306731549,3801,3664,2752,278,445,510,395,483,510,751,1271,1913,176,1888,98,1944,1008,9705,2489,0.274304754994658,15.993359502582463,214.9491969855644,-1771.6097872387554,6024.0671999999995,1654052099979,211.44851700000004,-1771.9776780000004,17260.17,1081.232355072628,500.17076502732124,246.19935245901624,178.79426229508198,616.0478142076494,399.01092896174964,116.55075699994785
CV,352,4,348,0.087745098039216,445,187,258,1.6477611940298509,113,140,104,41,36,10,1,0,0,0,0,0,0,71,0,80,104,189,59,1.3171568627450982,0.31200980392156896,62.9582998718262,-92.54549985351561,156.05759999999998,34366799996,62.744586600000005,-92.8050076,264.97,39.56707831416819,101.20280947909211,52.44429782513951,50.0532517939168,114.2963402421623,87.55426328503411,1.3641937377690803
CW,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,12.1889,-68.959801,8.8392,78988000412,12.2,-68.967,9.1,1.4613725913766298,28.3245294474803,14.0984972677596,11.1087431693989,31.592744383728,25.966150576806303,1.8557267759562799
CY,13283,606,12677,0.08007324980677398,16643,11687,4956,1.9281386803602931,88,8,29,310,430,885,2426,3138,3117,3060,1670,1482,0,1845,8,1913,24,7959,5300,0.0032686855919609997,1.4464994822468749,104.74779891967779,99.6067008972168,138.0744,52816699997,104.743156,99.61058100000001,105.92,0.642014085857575,61.5912264723741,29.82766939890714,22.21666666666667,78.58014571948999,44.7351244687311,2.393984699453551
CZ,70189,28730,41459,80.20291582988116,79619,62384,17235,90.85354336347832,9601,9664,6616,3423,3851,4656,8055,9096,9091,6038,4784,4744,711,7277,713,8128,880,8980,60329,0.114006901170843,97.02251187538297,4934.756108275307,1511.3493269220885,35675.6208,1149866399901,4933.9035797999995,1515.4073287000008,43049.82999999998,1677.1546326353641,926.320122359091,2037.893558703443,631.8872646424367,1354.5468720557758,469.99936666457313,199.36475612254273
DE,1010487,500436,510051,430.1022116659725,1161306,855623,305683,421.63948541961344,147347,152307,108162,37349,59444,75179,110743,117937,118344,101369,71599,61526,13904,94333,14558,98212,63195,124470,822822,2.054397255718833,465.20537517903097,24062.671688905073,4763.920830012064,115179.34799999987,4912689199527,24050.02568940001,4772.2941053999875,114836.02999999997,14009.178659998695,5198.034521630091,4281.017781721708,3217.466870486017,7137.601759221046,3100.718716421904,160.66048920285527
DK,127637,43406,84231,48.7455629701587,146712,105524,41188,46.26970635688399,22122,22781,15614,3728,5009,7904,13111,14609,13683,12357,8343,7451,1388,12584,1466,13091,4632,10611,112394,0.100604522584294,55.47160180968145,3131.0863607804386,579.5405311187311,1049.4264000000003,349613799944,3130.4953559,578.2359528999999,1845.7399999999996,683.9447807386757,561.6209250500856,663.1445283553177,505.05543089220123,750.6863146519349,358.8127555287293,67.36446571545362
DO,10133,294,9839,4.724163545614619,12124,9987,2137,20.615693459302925,3601,4118,3184,70,0,0,0,0,957,194,0,0,0,2419,0,2666,2203,7185,745,4.287104821329807,7.594075633947886,432.25756525180424,-1600.9114394470655,1126.5408,1804919299977,432.04486220000007,-1601.6521788999999,1188.8200000000002,421.29792001702907,624.1136714008031,260.69888405891123,148.09301455919572,724.1243942097333,506.5792422970197,43.38698504667033
DZ,8164,806,7358,6.601029336623854,14027,11036,2991,11.394225505821755,4109,3379,2211,216,454,580,887,802,593,356,194,246,77,2278,83,1967,378,4219,3567,0.26427134266096197,9.923266001014461,505.7962054483852,30.988686971210626,2966.9232000000006,846098599986,505.4800714,30.6753997,2776.1299999999997,118.91423965009832,263.56436942340326,107.50417156645265,91.18374464796794,338.518889064565,183.83603098320805,9.584926795926709
EC,2993,20,2973,1.700974279125874,4044,2309,1735,5.468366963374387,1128,365,0,3,1,245,148,290,240,213,584,827,0,376,0,822,431,1814,748,0.4433693067495881,2.5435013012005,-10.554279830074323,-707.412881824707,18468.441600000002,757082899991,-10.441700100000002,-708.3407888,20168.739999999998,183.35149636215561,154.4860448287163,107.94726588378434,48.0344888473188,206.6328338396105,106.74772499817348,11.824009696768066
EE,15303,2510,12793,16.729175211341023,16630,11405,5225,18.836583638988085,2282,2322,1636,468,745,1150,1645,1536,1431,1265,1098,1052,163,1327,161,1388,23,3400,11880,0.0038209392791060002,20.14767656055123,1290.2665045682984,553.7092075694143,845.5152,575276399978,1289.5998615999997,553.2088321,983.28,240.6661197361455,179.23228570034792,431.2922213075569,158.07052021872616,257.45969963960533,102.65333435247963,6.14735519125683
EG,2320,188,2132,3.4066580754692932,3819,1909,1910,12.607748298632535,0,1,0,0,10,171,153,0,2294,1190,0,0,0,1055,0,1259,76,1765,479,0.278319282678391,5.566641968446379,575.2851306073568,597.9065368393182,1986.3816000000002,1140599999981,575.7252239,601.5220105999999,1969.4500000000005,639.5023762517066,424.40274784968915,161.28559005425035,145.46543001245476,524.6900737642092,333.03338274986663,6.780236202908833
EH,1235,956,279,0.7740890688259109,1280,1200,80,0.9375,25,34,59,17,110,124,55,145,421,208,27,55,7,206,10,215,0,0,1235,0.0,1.0,79.25124,-8.042783,63.0936,66293199998,79.251667,-8.035833700000001,67.09,0.48000195827031694,33.103825136612,31.731076502732236,20.23246862427186,43.8626290224651,23.98542805100182,2.29640983606557
EK,57,0,57,0.0,57,49,8,0.8596491228070171,1,2,3,2,7,10,12,11,3,4,1,1,0,6,0,6,0,0,57,0.0,1.0,55.025833,11.348611,0.0,6151099999,55.1666666,11.133333300000002,3.0,20.805010464063898,10.8134486945962,0.0,13.4713114754098,13.470248937462001,8.55585913782633,0.0
ES,403094,137784,265310,70.86632606461554,502984,369365,133619,85.42894998935574,66660,79119,52185,5674,6938,13469,57323,73972,50573,42098,26529,28444,2561,50956,2558,57224,17013,147691,238390,1.8239735577738942,80.20009308514489,4497.479708442568,-441.1996409634055,48548.84879999999,1465137812911,4499.169772299999,-443.05467089999996,49544.37000000001,2162.852859207868,1881.4492879015204,1367.6681108337443,684.7039547761996,2531.3075092069616,1254.8190382888847,180.01978317577823
FI,74712,30302,44410,61.46262871636476,90108,64949,25159,53.8585204452326,17243,15527,10933,2586,3746,4855,6091,7718,6148,5438,5143,4680,1039,8793,1045,9688,3222,18151,53339,0.151534258559522,64.31617271450557,4558.349954648211,1847.9837605392315,6533.997600000001,209018799927,4558.8961340000005,1849.0454197000001,6195.399999999999,868.7278727301102,460.5481016304218,1343.5039170448517,478.48281482540585,729.2290659642871,144.68511193013475,46.444825159806214
FR,531187,247370,283817,328.37933513017765,668800,501874,166926,369.52986974495667,90120,93392,61734,10089,19820,36272,68251,76106,70622,61202,36393,44799,4038,56227,4601,64468,33553,58264,439370,1.4422736549432347,402.7738870162149,19837.70513236528,1166.3453458946365,98296.78079999995,3143205806057,19837.220438500022,1174.6377952999992,87280.77999999996,8759.495723811804,5545.845518889368,5274.782698231201,2921.432733077807,7887.90098480287,3128.318028323341,811.717319604511
GB,824038,327752,496286,199.51661014738033,982887,743109,239778,208.98039337806517,141587,143038,112115,19549,31301,40846,78905,105210,103911,89844,53555,63026,8663,82574,9396,94036,83954,152984,587100,2.591789661384778,217.68615966815517,12345.455221536224,-389.2643959295533,14529.515199993775,1045504239932,12345.266326100002,-388.84253960000046,16008.800000000001,2485.7651158257013,2524.2658818355785,3106.2841997239643,2268.624999078869,3307.1318379685886,1665.229211736657,350.28586831422666
